# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
07/01/2021 12:00:00;4.503;4
07/01/2021 13:00:00;3.881;4
07/01/2021 14:00:00;3.072;4
07/01/2021 15:00:00;2.336;4
07/01/2021 16:00:00;1.936;4
07/01/2021 17:00:00;2.063;4
07/01/2021 18:00:00;2.673;4
07/01/2021 19:00:00;3.391;4
07/01/2021 20:00:00;3.985;4
07/01/2021 21:00:00;4.41;4
07/01/2021 22:00:00;4.668;4
07/01/2021 23:00:00;4.789;4
08/01/2021 00:00:00;4.695;4
08/01/2021 01:00:00;4.241;4
08/01/2021 02:00:00;3.47;4
08/01/2021 03:00:00;2.645;4
08/01/2021 04:00:00;2.073;4
08/01/2021 05:00:00;1.973;4
08/01/2021 06:00:00;2.413;4
08/01/2021 07:00:00;3.177;4
08/01/2021 08:00:00;3.89;4
08/01/2021 09:00:00;4.41;4
08/01/2021 10:00:00;4.707;4
08/01/2021 11:00:00;4.857;4
08/01/2021 12:00:00;4.877;4
08/01/2021 13:00:00;4.625;4
08/01/2021 14:00:00;4.011;4
08/01/2021 15:00:00;3.185;4
08/01/2021 16:00:00;2.412;4
08/01/2021 17:00:00;1.934;4
08/01/2021 18:00:00;1.979;4
08/01/2021 19:00:00;2.528;4
08/01/2021 20:00:00;3.253;4
08/01/2021 21:00:00;3.882;4
08/01/2021 22:00:00;4.414;4
08/01/2021 23:00:00;4.786;4
09/01/2021 00:00:00;4.991;4
09/01/2021 01:00:00;4.873;4
09/01/2021 02:00:00;4.36;4
09/01/2021 03:00:00;3.539;4
09/01/2021 04:00:00;2.648;4
09/01/2021 05:00:00;2.002;4
09/01/2021 06:00:00;1.846;4
09/01/2021 07:00:00;2.21;4
09/01/2021 08:00:00;2.906;4
09/01/2021 09:00:00;3.597;4
09/01/2021 10:00:00;4.154;4
09/01/2021 11:00:00;4.548;4
09/01/2021 12:00:00;4.809;4
09/01/2021 13:00:00;4.887;4
09/01/2021 14:00:00;4.656;4
09/01/2021 15:00:00;4.075;4
09/01/2021 16:00:00;3.179;4
09/01/2021 17:00:00;2.224;4
09/01/2021 18:00:00;1.603;4
09/01/2021 19:00:00;1.591;4
09/01/2021 20:00:00;2.168;4
09/01/2021 21:00:00;2.974;4
09/01/2021 22:00:00;3.714;4
09/01/2021 23:00:00;4.356;4
10/01/2021 00:00:00;4.821;4
10/01/2021 01:00:00;5.01;4
10/01/2021 02:00:00;4.861;4
10/01/2021 03:00:00;4.351;4
10/01/2021 04:00:00;3.519;4
10/01/2021 05:00:00;2.534;4
10/01/2021 06:00:00;1.722;4
10/01/2021 07:00:00;1.457;4
10/01/2021 08:00:00;1.804;4
10/01/2021 09:00:00;2.553;4
10/01/2021 10:00:00;3.372;4
10/01/2021 11:00:00;4.094;4
10/01/2021 12:00:00;4.608;4
10/01/2021 13:00:00;4.9;4
10/01/2021 14:00:00;4.991;4
10/01/2021 15:00:00;4.768;4
10/01/2021 16:00:00;4.077;4
10/01/2021 17:00:00;3.036;4
